NOME DO ESTABELECIMENTO                                                ;MED.AVALIACOES                     ;QNT.AVALIACOES                          ;TIPO DE ESTABELECIMENTO                ;CONTATO DO ESTABELECIMENTO ;ENDERECO COMPLETO                                                                                                                                                                                                  ;LOGRADOURO                                                                                                                                                     ;NUMERO  ;BAIRRO                 ;CEP
ATACADÃO DO SUPLEMENTO SE                                              ;4,9                                ;(43)                                    ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99176-7295            ;AV HERMES FONTES, 96 B - SUÍÇA, ARACAJU - SE, 49052-000                                                                                                                                                            ;AV HERMES FONTES                                                                                                                                               ;96 B    ;SUÍÇA                  ;49052000
LIFECENTER SUPLEMENTOS                                                 ;4,8                                ;(37)                                    ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 3023-3986             ;R ESTANCIA, 646 - CENTRO, ARACAJU - SE, 49010-180                                                                                                                                                                  ;R ESTANCIA                                                                                                                                                     ;646     ;CENTRO                 ;49010180
FIBRAJU SUPLEMENTOS                                                    ;5,0                                ;(527)                                   ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99989-0193            ;R LUIZ CARLOS DE AGUIAR MACHADO, 53A - JABOTIANA, ARACAJU - SE, 49095-480                                                                                                                                          ;R LUIZ CARLOS DE AGUIAR MACHADO                                                                                                                                ;53A     ;JABOTIANA              ;49095480
LIFECENTER SUPLEMENTOS                                                 ;4,2                                ;(13)                                    ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99604-6398            ;AV PADRE NESTOR SAMPAIO, 749 - LUZIA, ARACAJU - SE, 49045-970                                                                                                                                                      ;AV PADRE NESTOR SAMPAIO                                                                                                                                        ;749     ;LUZIA                  ;49045970
CENTRAL DO SUPLEMENTO - ARACAJU                                        ;5,0                                ;(22)                                    ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99860-9393            ;AV MURILO DANTAS, 06 - FAROLÂNDIA, ARACAJU - SE, 49032-490                                                                                                                                                         ;AV MURILO DANTAS                                                                                                                                               ;06      ;FAROLÂNDIA             ;49032490
CENTRAL DO SUPLEMENTO ARACAJU (MEGA LOJA)                              ;4,9                                ;(97)                                    ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99860-9393            ;AV JOSÉ CARLOS SILVA, 4844 - SÃO CONRADO, ARACAJU - SE, 49042-190                                                                                                                                                  ;AV JOSÉ CARLOS SILVA                                                                                                                                           ;4844    ;SÃO CONRADO            ;49042190
LIFECENTER SUPLEMENTOS                                                 ;4,2                                ;(5)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 3085-9479             ;AV ADÉLIA FRANCO, 3116 - LUZIA, ARACAJU - SE, 49048-010                                                                                                                                                            ;AV ADÉLIA FRANCO                                                                                                                                               ;3116    ;LUZIA                  ;49048010
GIBÃO SUPLEMENTOS                                                      ;5,0                                ;(71)                                    ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99170-6363            ;R BRASIL, 12 - MARIVAN, ARACAJU - SE, 49039-095                                                                                                                                                                    ;R BRASIL                                                                                                                                                       ;12      ;MARIVAN                ;49039095
SUPLEMENTOS SERGIPE                                                    ;5,0                                ;(6)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 98127-8848            ;ANEXO À ACADEMIA SPORT CONNECTION - AV GOV. PAULO BARRETO DE MENEZES, 590 - 13 DE JULHO, ARACAJU - SE, 49020-010                                                                                                   ;ANEXO À ACADEMIA SPORT CONNECTION - AV GOV. PAULO BARRETO DE MENEZES                                                                                           ;590     ;13 DE JULHO            ;49020010
MS SUPLEMENTOS                                                         ;4,9                                ;(10)                                    ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99933-3612            ;R EDUARDO DANTAS DO ESPÍRITO SANTO, 505 - SÃO CONRADO, ARACAJU - SE, 49042-140                                                                                                                                     ;R EDUARDO DANTAS DO ESPÍRITO SANTO                                                                                                                             ;505     ;SÃO CONRADO            ;49042140
GARAGEM SUPLEMENTOS                                                    ;5,0                                ;(4)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 98811-4261            ;R QUIRINO, 1020 - INÁCIO BARBOSA, ARACAJU - SE, 49040-700                                                                                                                                                          ;R QUIRINO                                                                                                                                                      ;1020    ;INÁCIO BARBOSA         ;49040700
K.FITNESS (@KLEDSON_FITNESS)                                           ;4,8                                ;(24)                                    ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99947-8228            ;R DOM JOSÉ THOMAZ, 286 - SÃO JOSÉ, ARACAJU - SE, 49015-090                                                                                                                                                         ;R DOM JOSÉ THOMAZ                                                                                                                                              ;286     ;SÃO JOSÉ               ;49015090
ATACADÃO DO SUPLEMENTO FAROLÂNDIA                                      ;5,0                                ;(3)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99173-0736            ;AV DR JOSÉ TOMAZ D'AVILA NABUCO, 379 - FAROLÂNDIA, ARACAJU - SE, 49030-270                                                                                                                                         ;AV DR JOSÉ TOMAZ D'AVILA NABUCO                                                                                                                                ;379     ;FAROLÂNDIA             ;49030270
ARMAZÉM FIT STORE ARACAJU                                              ;5,0                                ;(1)                                     ;LOJA DE PRODUTOS NATURAIS              ;(79) 99641-9421            ;AV PROF. ACRÍSIO CRUZ, 360 - LOJA 03 - SALGADO FILHO, ARACAJU - SE, 49020-210                                                                                                                                      ;AV PROF. ACRÍSIO CRUZ                                                                                                                                          ;360     ;SALGADO FILHO          ;49020210
KADU EMPÓRIO NATURAL                                                   ;4,9                                ;(213)                                   ;LOJA DE PRODUTOS NATURAIS              ;(79) 98855-1789            ;R ABGAIL FERREIRA ARAÚJO RAMOS, 439 - LUZIA, ARACAJU - SE, 49047-440                                                                                                                                               ;R ABGAIL FERREIRA ARAÚJO RAMOS                                                                                                                                 ;439     ;LUZIA                  ;49047440
OXIGÊNIO SUPLEMENTOS                                                   ;4,6                                ;(9)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99191-1515            ;AV GONÇALO PRADO ROLEMBERG, 1135 - SÃO JOSÉ, ARACAJU - SE, 49025-040                                                                                                                                               ;AV GONÇALO PRADO ROLEMBERG                                                                                                                                     ;1135    ;SÃO JOSÉ               ;49025040
5 FIVE SUPLEMENTOS                                                     ;4,9                                ;(16)                                    ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 3085-3280             ;R PARAÍBA, 500 - SIQUEIRA CAMPOS, ARACAJU - SE, 49085-510                                                                                                                                                          ;R PARAÍBA                                                                                                                                                      ;500     ;SIQUEIRA CAMPOS        ;49085510
NATUZA PRODUTOS NATURAIS E SUPLEMENTOS                                 ;4,8                                ;(15)                                    ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99933-5411            ;R MANOEL SANTOS SILVA, 05 - PONTO NOVO, ARACAJU - SE, 49097-480                                                                                                                                                    ;R MANOEL SANTOS SILVA                                                                                                                                          ;05      ;PONTO NOVO             ;49097480
IRON LIFE NUTRIÇÃO E SAÚDE                                             ;4,9                                ;(15)                                    ;EMPÓRIO GOURMET                        ;(79) 99114-6801            ;GALERIA CENTER SÃO JOSÉ - R LAGARTO, 2177 - LOJA 04 - SALGADO FILHO, ARACAJU - SE, 49020-290                                                                                                                       ;GALERIA CENTER SÃO JOSÉ - R LAGARTO                                                                                                                            ;2177    ;SALGADO FILHO          ;49020290
ARMAZÉM E GRÃOS - PRODUTOS NATURAIS                                    ;5,0                                ;(45)                                    ;LOJA DE PRODUTOS NATURAIS              ;(79) 99839-0342            ;GALERIA VILA NOVA - AV PEDRO PAES AZEVEDO, 784 - SL 1 - GRAGERU, ARACAJU - SE, 49025-570                                                                                                                           ;GALERIA VILA NOVA - AV PEDRO PAES AZEVEDO                                                                                                                      ;784     ;GRAGERU                ;49025570
MIX SUPLEMENTOS AJU                                                    ;5,0                                ;(2)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;Contato não disponível     ;R ALAGOAS, 71 - SIQUEIRA CAMPOS, ARACAJU - SE, 49075-030                                                                                                                                                           ;R ALAGOAS                                                                                                                                                      ;71      ;SIQUEIRA CAMPOS        ;49075030
SOUZAJRSHOP                                                            ;5,0                                ;(2)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99989-0670            ;R OLIVEIRA BARROS, 782 - PONTO NOVO, ARACAJU - SE, 49047-290                                                                                                                                                       ;R OLIVEIRA BARROS                                                                                                                                              ;782     ;PONTO NOVO             ;49047290
MS SUPLEMENTOS                                                         ;5,0                                ;(6)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99999-2460            ;R CAPELA, 167 - CENTRO, ARACAJU - SE, 49010-370                                                                                                                                                                    ;R CAPELA                                                                                                                                                       ;167     ;CENTRO                 ;49010370
BIO NUTRI SUPPLEMENTS                                                  ;4,9                                ;(11)                                    ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99111-3518            ;R SÃO FRANCISCO DE ASSIS, 549 - SANTOS DUMONT, ARACAJU - SE, 49087-000                                                                                                                                             ;R SÃO FRANCISCO DE ASSIS                                                                                                                                       ;549     ;SANTOS DUMONT          ;49087000
GAMA SUPLEMENTOS                                                       ;5,0                                ;(5)                                     ;LOJA                                   ;(79) 98810-3556            ;AV FRANCISCO JOSÉ DA FONSECA, 600 - SÃO CONRADO, ARACAJU - SE, 49042-000                                                                                                                                           ;AV FRANCISCO JOSÉ DA FONSECA                                                                                                                                   ;600     ;SÃO CONRADO            ;49042000
SILVANEIDE CONSULTORA JAN ROSÊ - ARACAJU/SE                            ;4,7                                ;(28)                                    ;LOJA                                   ;(79) 3303-0120             ;AV DR EDELZIO VIEIRA DE MELO, N° 1038 - SUÍÇA, ARACAJU - SE, 49015-350                                                                                                                                             ;AV DR EDELZIO VIEIRA DE MELO                                                                                                                                   ;ARACAJU ;SUÍÇA                  ;49015350
LIZIA COSTA- SUPLEMENTOS E BEM ESTAR                                   ;5,0                                ;(2)                                     ;LOJA DE PRODUTOS DE BELEZA             ;(79) 99971-0570            ;R ORLANDO MAGALHÃES MAIA, 1330 - JARDINS, ARACAJU - SE, 49025-530                                                                                                                                                  ;R ORLANDO MAGALHÃES MAIA                                                                                                                                       ;1330    ;JARDINS                ;49025530
LOJA DE SUPLEMENTOS DIEGO CAROSO                                       ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99945-3115            ;R H4, PRAÇA MAJ. EDELTRUDES TELES, 258 - FAROLÂNDIA, ARACAJU - SE, 49030-510                                                                                                                                       ;R H4                                                                                                                                                           ;258     ;FAROLÂNDIA             ;49030510
NATIVA FIT SUPLEMENTOS NATURAIS                                        ;5,0                                ;(1)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 98803-6005            ;(79) 98803-6005                                                                                                                                                                                                    ;                                                                                                                                                               ;        ;                       ;        
LIFE CENTER SUPLEMENTOS                                                ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 3012-2422             ;R MANOEL SANTOS SILVA, 7 - PONTO NOVO, ARACAJU - SE, 49097-400                                                                                                                                                     ;R MANOEL SANTOS SILVA                                                                                                                                          ;7       ;PONTO NOVO             ;49097400
TYPE NUTRITION                                                         ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99191-1515            ;AV JORGE AMADO, 515 - JARDINS, ARACAJU - SE, 49025-330                                                                                                                                                             ;AV JORGE AMADO                                                                                                                                                 ;515     ;JARDINS                ;49025330
ESPAÇO VIDA SAUDÁVEL DA JU                                             ;5,0                                ;(7)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99981-5054            ;R MARIA DE LOURDES RAMOS GONÇALVES, CONJ. AUGUSTO FRANCO, 105 - FAROLÂNDIA, ARACAJU, 49030-100                                                                                                                     ;R MARIA DE LOURDES RAMOS GONÇALVES                                                                                                                             ;105     ;                       ;49030100
JR SUPLEMENTOS / SÃO CRISTÓVÃO / ARACAJU                               ;5,0                                ;(1)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99814-8221            ;R AMINTAS MACHADO DE JESUS, 270 - ROSA ELZE, SÃO CRISTÓVÃO - SE, 49100-000                                                                                                                                         ;R AMINTAS MACHADO DE JESUS                                                                                                                                     ;270     ;                       ;49100000
KADU DISTRIBUIDORA                                                     ;4,8                                ;(33)                                    ;LOJA DE PRODUTOS NATURAIS              ;(79) 3217-7477             ;R AMAPÁ, 393 - SIQUEIRA CAMPOS, ARACAJU - SE, 49080-040                                                                                                                                                            ;R AMAPÁ                                                                                                                                                        ;393     ;SIQUEIRA CAMPOS        ;49080040
VIVAZ PRODUTOS SAUDÁVEIS                                               ;4,6                                ;(9)                                     ;LOJA DE PRODUTOS NATURAIS              ;(79) 4141-5000             ;R LEOPOLDO MESQUITA, 393 - GRAGERU, ARACAJU - SE, 49025-395                                                                                                                                                        ;R LEOPOLDO MESQUITA                                                                                                                                            ;393     ;GRAGERU                ;49025395
CIA DA SAÚDE • ARACAJU                                                 ;4,8                                ;(10)                                    ;LOJA DE PRODUTOS NATURAIS              ;(79) 3231-3409             ;DENTRO DO SUPERMERCADO GBARBOSA, R MIN. NELSON HUNGRIA, 155 - LOJA 1026 - LUZIA, ARACAJU - SE, 49045-510                                                                                                           ;DENTRO DO SUPERMERCADO GBARBOSA                                                                                                                                ;155     ;LUZIA                  ;49045510
VITRINE NATURAL                                                        ;4,8                                ;(31)                                    ;LOJA DE PRODUTOS NATURAIS              ;(79) 99151-0245            ;AV DESEMBARGADOR JOÃO BOSCO DE ANDRADE LIMA, 411 - ATALAIA, ARACAJU - SE, 49037-130                                                                                                                                ;AV DESEMBARGADOR JOÃO BOSCO DE ANDRADE LIMA                                                                                                                    ;411     ;ATALAIA                ;49037130
MERCATO VERDE                                                          ;4,6                                ;(33)                                    ;LOJA DE PRODUTOS NATURAIS              ;(79) 3304-4919             ;R JACINTO UCHÔA DE MENDONÇA, 129 - GRAGERU, ARACAJU - SE, 49026-160                                                                                                                                                ;R JACINTO UCHÔA DE MENDONÇA                                                                                                                                    ;129     ;GRAGERU                ;49026160
SUPRIMONSTER                                                           ;4,9                                ;(55)                                    ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99914-9952            ;R GOV. JOÃO ALVES FILHO, 411 - ROSA ELZE, SÃO CRISTÓVÃO - SE, 49100-000                                                                                                                                            ;R GOV. JOÃO ALVES FILHO                                                                                                                                        ;411     ;                       ;49100000
AIMARA PRODUTOS NATURAIS                                               ;5,0                                ;(1)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99713-1111            ;R ZAQUEU BRANDÃO, 70 - SÃO JOSÉ, ARACAJU - SE, 49015-330                                                                                                                                                           ;R ZAQUEU BRANDÃO                                                                                                                                               ;70      ;SÃO JOSÉ               ;49015330
VIVA NATURE                                                            ;4,9                                ;(17)                                    ;LOJA DE PRODUTOS NATURAIS              ;(79) 99824-7607            ;ACESSO PELA - R ANANIAS AZEVEDO, R DR OSÓRIO DE ARAÚJO RAMOS, 92 - LOJA 4 - 13 DE JULHO, ARACAJU - SE, 49020-085                                                                                                   ;ACESSO PELA - R ANANIAS AZEVEDO                                                                                                                                ;92      ;13 DE JULHO            ;49020085
NUTRITION SPORTS                                                       ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 3246-3404             ;R DEP. EUCLÍDES PAES MENDONÇA - 13 DE JULHO, ARACAJU - SE, 49020-460                                                                                                                                               ;R DEP. EUCLÍDES PAES MENDONÇA - 13 DE JULHO                                                                                                                    ;ARACAJU ;13 DE JULHO            ;49020460
